Employee Number,Attrition,AgeBand,Age,Department,Education,Education Field,Gender,JobRole,MaritalStatus,BusinessTravel,OverTime,TrainingTimesLastYear,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,Yes,35 - 44,41,Sales,Associates Degree,Life Sciences,Female,Sales Executive,Single,Travel_Rarely,Yes,0,1102,1,2,94,3,2,4,5993,19479,8,11,3,1,0,8,1,6,4,0,5
2,No,45 - 54,49,R&D,High School,Life Sciences,Male,Research Scientist,Married,Travel_Frequently,No,3,279,8,3,61,2,2,2,5130,24907,1,23,4,4,1,10,3,10,7,1,7
4,Yes,35 - 44,37,R&D,Associates Degree,Other,Male,Laboratory Technician,Single,Travel_Rarely,Yes,3,1373,2,4,92,2,1,3,2090,2396,6,15,3,2,0,7,3,0,0,0,0
5,No,25 - 34,33,R&D,Master's Degree,Life Sciences,Female,Research Scientist,Married,Travel_Frequently,Yes,3,1392,3,4,56,3,1,3,2909,23159,1,11,3,3,0,8,3,8,7,3,0
7,No,25 - 34,27,R&D,High School,Medical,Male,Laboratory Technician,Married,Travel_Rarely,No,3,591,2,1,40,3,1,2,3468,16632,9,12,3,4,1,6,3,2,2,2,2
8,No,25 - 34,32,R&D,Associates Degree,Life Sciences,Male,Laboratory Technician,Single,Travel_Frequently,No,2,1005,2,4,79,3,1,4,3068,11864,0,13,3,3,0,8,2,7,7,3,6
10,No,Over 55,59,R&D,Bachelor's Degree,Medical,Female,Laboratory Technician,Married,Travel_Rarely,Yes,3,1324,3,3,81,4,1,1,2670,9964,4,20,4,1,3,12,2,1,0,0,0
11,No,25 - 34,30,R&D,High School,Life Sciences,Male,Laboratory Technician,Divorced,Travel_Rarely,No,2,1358,24,4,67,3,1,3,2693,13335,1,22,4,2,1,1,3,1,0,0,0
12,No,35 - 44,38,R&D,Bachelor's Degree,Life Sciences,Male,Manufacturing Director,Single,Travel_Frequently,No,2,216,23,4,44,2,3,3,9526,8787,0,21,4,2,0,10,3,9,7,1,8
13,No,35 - 44,36,R&D,Bachelor's Degree,Medical,Male,Healthcare Representative,Married,Travel_Rarely,No,3,1299,27,3,94,3,2,3,5237,16577,6,13,3,2,2,17,2,7,7,7,7
14,No,35 - 44,35,R&D,Bachelor's Degree,Medical,Male,Laboratory Technician,Married,Travel_Rarely,No,5,809,16,1,84,4,1,2,2426,16479,0,13,3,3,1,6,3,5,4,0,3
15,No,25 - 34,29,R&D,Associates Degree,Life Sciences,Female,Laboratory Technician,Single,Travel_Rarely,Yes,3,153,15,4,49,2,2,3,4193,12682,0,12,3,4,0,10,3,9,5,0,8
16,No,25 - 34,31,R&D,High School,Life Sciences,Male,Research Scientist,Divorced,Travel_Rarely,No,1,670,26,1,31,3,1,3,2911,15170,1,17,3,4,1,5,2,5,2,4,3
18,No,25 - 34,34,R&D,Associates Degree,Medical,Male,Laboratory Technician,Divorced,Travel_Rarely,No,2,1346,19,2,93,3,1,4,2661,8758,0,11,3,3,1,3,3,2,2,1,2
19,Yes,25 - 34,28,R&D,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Single,Travel_Rarely,Yes,4,103,24,3,50,2,1,3,2028,12947,5,14,3,2,0,6,3,4,2,0,3
20,No,25 - 34,29,R&D,Master's Degree,Life Sciences,Female,Manufacturing Director,Divorced,Travel_Rarely,No,1,1389,21,2,51,4,3,1,9980,10195,1,11,3,3,1,10,3,10,9,8,8
21,No,25 - 34,32,R&D,Associates Degree,Life Sciences,Male,Research Scientist,Divorced,Travel_Rarely,Yes,5,334,5,1,80,4,1,2,3298,15053,0,12,3,4,2,7,2,6,2,0,5
22,No,Under 25,22,R&D,Associates Degree,Medical,Male,Laboratory Technician,Divorced,Non-Travel,Yes,2,1123,16,4,96,4,1,4,2935,7324,1,13,3,2,2,1,2,1,0,0,0
23,No,45 - 54,53,Sales,Master's Degree,Life Sciences,Female,Manager,Married,Travel_Rarely,No,3,1219,2,1,78,2,4,4,15427,22021,2,16,3,3,0,31,3,25,8,3,7
24,No,35 - 44,38,R&D,Bachelor's Degree,Life Sciences,Male,Research Scientist,Single,Travel_Rarely,Yes,3,371,2,4,45,3,1,4,3944,4306,5,11,3,3,0,6,3,3,2,1,2
26,No,Under 25,24,R&D,Associates Degree,Other,Female,Manufacturing Director,Divorced,Non-Travel,No,5,673,11,1,96,4,2,3,4011,8232,0,18,3,4,1,5,2,4,2,1,3
27,Yes,35 - 44,36,Sales,Master's Degree,Life Sciences,Male,Sales Representative,Single,Travel_Rarely,No,4,1218,9,3,82,2,1,1,3407,6986,7,23,4,2,0,10,3,5,3,0,3
28,No,25 - 34,34,R&D,Master's Degree,Life Sciences,Female,Research Director,Single,Travel_Rarely,No,4,419,7,1,53,3,3,2,11994,21293,0,11,3,3,0,13,3,12,6,2,11
30,No,Under 25,21,R&D,Associates Degree,Life Sciences,Male,Research Scientist,Single,Travel_Rarely,No,6,391,15,3,96,3,1,4,1232,19281,1,14,3,4,0,0,3,0,0,0,0
31,Yes,25 - 34,34,R&D,High School,Medical,Male,Research Scientist,Single,Travel_Rarely,No,2,699,6,2,83,3,1,1,2960,17102,2,11,3,3,0,8,3,4,2,1,3
32,No,45 - 54,53,R&D,Bachelor's Degree,Other,Female,Manager,Divorced,Travel_Rarely,No,3,1282,5,3,58,3,5,3,19094,10735,4,11,3,4,1,26,2,14,13,4,8
33,Yes,25 - 34,32,R&D,High School,Life Sciences,Female,Research Scientist,Single,Travel_Frequently,Yes,5,1125,16,2,72,1,1,1,3919,4681,1,22,4,2,0,10,3,10,2,6,7
35,No,35 - 44,42,Sales,Master's Degree,Marketing,Male,Sales Executive,Married,Travel_Rarely,No,2,691,8,3,48,3,2,2,6825,21173,0,11,3,4,1,10,3,9,7,4,2
36,No,35 - 44,44,R&D,Master's Degree,Medical,Female,Healthcare Representative,Married,Travel_Rarely,No,4,477,7,1,42,2,3,4,10248,2094,3,14,3,4,1,24,3,22,6,5,17
38,No,45 - 54,46,Sales,Master's Degree,Marketing,Female,Manager,Single,Travel_Rarely,No,2,705,2,2,83,3,5,1,18947,22822,3,12,3,4,0,22,2,2,2,2,1
39,No,25 - 34,33,R&D,Bachelor's Degree,Medical,Male,Laboratory Technician,Single,Travel_Rarely,No,3,924,2,3,78,3,1,4,2496,6670,4,11,3,4,0,7,3,1,1,0,0
40,No,35 - 44,44,R&D,Master's Degree,Other,Male,Healthcare Representative,Married,Travel_Rarely,Yes,5,1459,10,4,41,3,2,4,6465,19121,2,13,3,4,0,9,4,4,2,1,3
41,No,25 - 34,30,R&D,Associates Degree,Medical,Male,Laboratory Technician,Single,Travel_Rarely,No,5,125,9,4,83,2,1,3,2206,16117,1,13,3,1,0,10,3,10,0,1,8
42,Yes,35 - 44,39,Sales,Bachelor's Degree,Technical Degree,Male,Sales Representative,Married,Travel_Rarely,No,6,895,5,4,56,3,2,4,2086,3335,3,14,3,3,1,19,4,1,0,0,0
45,Yes,Under 25,24,R&D,Bachelor's Degree,Medical,Male,Research Scientist,Married,Travel_Rarely,Yes,2,813,1,2,61,3,1,4,2293,3020,2,16,3,1,1,6,2,2,0,2,0
46,No,35 - 44,43,R&D,Associates Degree,Medical,Female,Research Scientist,Divorced,Travel_Rarely,No,3,1273,2,4,72,4,1,3,2645,21923,1,12,3,4,2,6,2,5,3,1,4
47,Yes,45 - 54,50,Sales,Associates Degree,Marketing,Male,Sales Representative,Married,Travel_Rarely,Yes,2,869,3,1,86,2,1,3,2683,3810,1,14,3,3,0,3,3,3,2,0,2
49,No,35 - 44,35,Sales,Bachelor's Degree,Marketing,Female,Sales Representative,Married,Travel_Rarely,No,3,890,2,4,97,3,1,4,2014,9687,1,13,3,1,0,2,3,2,2,2,2
51,No,35 - 44,36,R&D,Master's Degree,Life Sciences,Female,Research Scientist,Married,Travel_Rarely,Yes,3,852,5,2,82,2,1,1,3419,13072,9,14,3,4,1,6,4,1,1,0,0
52,No,25 - 34,33,Sales,Bachelor's Degree,Life Sciences,Female,Sales Executive,Married,Travel_Frequently,No,3,1141,1,3,42,4,2,1,5376,3193,2,19,3,1,2,10,3,5,3,1,3
53,No,35 - 44,35,R&D,Associates Degree,Other,Male,Laboratory Technician,Divorced,Travel_Rarely,No,3,464,4,3,75,3,1,4,1951,10910,1,12,3,3,1,1,3,1,0,0,0
54,No,25 - 34,27,R&D,Master's Degree,Life Sciences,Female,Laboratory Technician,Divorced,Travel_Rarely,No,6,1240,2,4,33,3,1,1,2341,19715,1,13,3,4,1,1,3,1,0,0,0
55,Yes,25 - 34,26,R&D,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Single,Travel_Rarely,No,2,1357,25,1,48,1,1,3,2293,10558,1,12,3,3,0,1,2,1,0,0,1
56,No,25 - 34,27,Sales,Bachelor's Degree,Life Sciences,Male,Sales Executive,Single,Travel_Frequently,No,0,994,8,4,37,3,3,3,8726,2975,1,15,3,4,0,9,3,9,8,1,7
57,No,25 - 34,30,R&D,Associates Degree,Medical,Female,Laboratory Technician,Single,Travel_Frequently,No,2,721,1,3,58,3,2,4,4011,10781,1,23,4,4,0,12,3,12,8,3,7
58,Yes,35 - 44,41,R&D,Bachelor's Degree,Technical Degree,Female,Research Director,Married,Travel_Rarely,No,0,1360,12,2,49,3,5,3,19545,16280,1,12,3,4,0,23,3,22,15,15,8
60,No,25 - 34,34,Sales,Master's Degree,Marketing,Male,Sales Executive,Single,Non-Travel,No,2,1065,23,2,72,3,2,3,4568,10034,0,20,4,3,0,10,3,9,5,8,7
61,No,35 - 44,37,R&D,Associates Degree,Life Sciences,Male,Research Scientist,Married,Travel_Rarely,No,1,408,19,2,73,3,1,2,3022,10227,4,21,4,1,0,8,3,1,0,0,0
62,No,45 - 54,46,Sales,Master's Degree,Marketing,Male,Sales Executive,Single,Travel_Frequently,Yes,4,1211,5,1,98,3,2,4,5772,20445,4,21,4,3,0,14,3,9,6,0,8
63,No,35 - 44,35,R&D,High School,Life Sciences,Male,Laboratory Technician,Married,Travel_Rarely,No,2,1229,8,4,36,4,1,4,2269,4892,1,19,3,4,0,1,3,1,0,0,1
64,Yes,45 - 54,48,R&D,Associates Degree,Life Sciences,Male,Laboratory Technician,Single,Travel_Rarely,Yes,2,626,1,1,98,2,3,3,5381,19294,9,13,3,4,0,23,3,1,0,0,0
65,Yes,25 - 34,28,R&D,Master's Degree,Technical Degree,Male,Laboratory Technician,Single,Travel_Rarely,Yes,3,1434,5,3,50,3,1,3,3441,11179,1,13,3,3,0,2,2,2,2,2,2
68,No,35 - 44,44,Sales,Doctoral Degree,Marketing,Female,Sales Executive,Divorced,Travel_Rarely,Yes,2,1488,1,2,75,3,2,1,5454,4009,5,21,4,3,1,9,2,4,3,1,3
70,No,35 - 44,35,R&D,Associates Degree,Medical,Male,Healthcare Representative,Married,Non-Travel,Yes,3,1097,11,3,79,2,3,1,9884,8302,2,13,3,3,1,10,3,4,0,2,3
72,No,25 - 34,26,Sales,Bachelor's Degree,Marketing,Female,Sales Executive,Married,Travel_Rarely,Yes,2,1443,23,3,47,2,2,4,4157,21436,7,19,3,3,1,5,2,2,2,0,0
73,No,25 - 34,33,R&D,Associates Degree,Life Sciences,Female,Research Director,Single,Travel_Frequently,Yes,1,515,1,1,98,3,3,4,13458,15146,1,12,3,3,0,15,3,15,14,8,12
74,No,35 - 44,35,Sales,Doctoral Degree,Life Sciences,Male,Sales Executive,Married,Travel_Frequently,No,3,853,18,2,71,3,3,1,9069,11031,1,22,4,4,1,9,2,9,8,1,8
75,No,35 - 44,35,R&D,Master's Degree,Medical,Female,Laboratory Technician,Married,Travel_Rarely,Yes,3,1142,23,3,30,3,1,1,4014,16002,3,15,3,3,1,4,3,2,2,2,2
76,No,25 - 34,31,R&D,Master's Degree,Life Sciences,Male,Laboratory Technician,Divorced,Travel_Rarely,No,3,655,7,4,48,3,2,4,5915,9528,3,22,4,4,1,10,2,7,7,1,7
77,No,35 - 44,37,R&D,Master's Degree,Life Sciences,Male,Manufacturing Director,Divorced,Travel_Rarely,No,2,1115,1,1,51,2,2,3,5993,2689,1,18,3,3,1,7,4,7,5,0,7
78,No,25 - 34,32,R&D,Bachelor's Degree,Medical,Male,Manufacturing Director,Married,Travel_Rarely,Yes,3,427,1,1,33,3,2,4,6162,10877,1,22,4,2,1,9,3,9,8,7,8
79,No,35 - 44,38,R&D,Doctoral Degree,Life Sciences,Female,Laboratory Technician,Single,Travel_Frequently,No,2,653,29,4,50,3,2,4,2406,5456,1,11,3,4,0,10,3,10,3,9,9
80,No,45 - 54,50,R&D,Associates Degree,Medical,Female,Research Director,Divorced,Travel_Rarely,Yes,2,989,7,2,43,2,5,3,18740,16701,5,12,3,4,1,29,2,27,3,13,8
